tokenID,name,file_name,description,attributes[Rarity]
1,Pod #1,1.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
2,Pod #2,2.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
3,Pod #3,3.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
4,Pod #4,26.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
5,Pod #5,5.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
6,Pod #6,6.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
7,Pod #7,7.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
8,Pod #8,8.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
9,Pod #9,9.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
10,Pod #10,10.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
11,Pod #11,11.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
12,Pod #12,12.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,01-Jan
13,Pod #13,13.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
14,Pod #14,14.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
15,Pod #15,15.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
16,Pod #16,16.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
17,Pod #17,17.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
18,Pod #18,18.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
19,Pod #19,19.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
20,Pod #20,20.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
21,Pod #21,21.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
22,Pod #22,22.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Rare
23,Pod #23,23.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
24,Pod #24,24.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
25,Pod #25,25.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
26,Pod #26,4.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Legendary
27,Pod #27,27.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
28,Pod #28,28.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
29,Pod #29,29.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
30,Pod #30,30.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
31,Pod #31,31.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
32,Pod #32,32.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
33,Pod #33,33.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
34,Pod #34,34.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
35,Pod #35,35.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
36,Pod #36,36.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
37,Pod #37,37.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
38,Pod #38,38.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
39,Pod #39,39.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
40,Pod #40,40.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
41,Pod #41,41.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
42,Pod #42,42.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
43,Pod #43,43.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
44,Pod #44,44.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
45,Pod #45,45.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
46,Pod #46,46.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
47,Pod #47,47.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
48,Pod #48,48.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
49,Pod #49,49.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
50,Pod #50,50.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
51,Pod #51,51.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
52,Pod #52,52.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
53,Pod #53,53.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
54,Pod #54,54.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
55,Pod #55,55.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
56,Pod #56,56.png,The Official Pacific Pod NFT on Ethereum backed by Pacifica Finance.,Common
